practice,stim1,stim2,stim3,conditionType,wordStructure,correctResp
1,feet,rat,seat,,,yny
1,boy,toy,bay,,,yyn
1,light,time,kite,,,yny
1,bag,cat,rag,,,yny
0,vase,house,mouse,sfp,cvc,nyy
0,drill,grill,snail,sfp,ccvc,yyn
0,shirt,dirt,shells,sip,cvcc,yyn
0,boy,cat,bat,sip,cvc,nyy
0,frown,clown,frog,sip,ccvc,yyn
0,cream,steam,plum,sfp,ccvc,yyn
0,horn,fern,corn,sfp,cvcc,yny
0,well,hen,bell,ssv,cvc,yny
0,flint,plant,quint,sfp,ccvcc,yny
0,wand,dots,pond,ssv,cvcc,yny
0,net,head,shed,ssv,cvc,nyy
0,stamp,branch,clamp,ssv,ccvcc,yny
0,skunk,trunk,skirt,sip,ccvcc,yyn
0,crane,brain,cross,sip,ccvc,yyn
0,quilt,shrimp,blimp,ssv,ccvcc,nyy
